IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
193.134.210.75,8443,true,HKG,亚太,香港,158 ms,9333 kB/s
38.207.177.167,22844,true,HKG,亚太,香港,159 ms,9262 kB/s
207.57.124.208,8446,true,HKG,亚太,香港,167 ms,9208 kB/s
38.207.179.65,15005,true,HKG,亚太,香港,153 ms,9195 kB/s
193.134.211.85,6400,true,HKG,亚太,香港,157 ms,9182 kB/s
149.104.29.21,8848,true,HKG,亚太,香港,158 ms,9063 kB/s
45.144.136.133,57489,true,HKG,亚太,香港,151 ms,9037 kB/s
103.74.192.178,443,true,HKG,亚太,香港,159 ms,9033 kB/s
45.136.15.125,35680,true,HKG,亚太,香港,159 ms,9008 kB/s
149.104.27.197,31005,true,HKG,亚太,香港,153 ms,8881 kB/s
207.57.123.25,49205,true,HKG,亚太,香港,167 ms,8781 kB/s
38.207.177.204,443,true,HKG,亚太,香港,160 ms,8756 kB/s
207.57.135.109,443,true,HKG,亚太,香港,155 ms,8756 kB/s
207.57.122.88,443,true,HKG,亚太,香港,161 ms,8698 kB/s
45.136.13.89,52011,true,HKG,亚太,香港,154 ms,8571 kB/s
38.55.192.202,443,true,HKG,亚太,香港,154 ms,8568 kB/s
207.57.131.54,57324,true,HKG,亚太,香港,159 ms,8549 kB/s
68.64.178.51,901,true,DFW,北美洲,Dallas,154 ms,8539 kB/s
38.55.199.222,443,true,HKG,亚太,香港,162 ms,8453 kB/s
38.55.199.86,443,true,HKG,亚太,香港,160 ms,8439 kB/s
68.64.178.51,627,true,HKG,亚太,香港,168 ms,8436 kB/s
193.134.209.123,443,true,HKG,亚太,香港,155 ms,8412 kB/s
